Date,Open,High,Low,Close,Volume
12/29/2023,"99.20","99.43","99.13","99.25","7,327,825"
12/28/2023,"99.54","99.65","99.31","99.44","7,172,285"
12/27/2023,"99.40","99.70","99.31","99.66","6,919,952"
12/26/2023,"98.93","99.08","98.89","99.03","5,418,487"
12/22/2023,"99.13","99.14","98.81","98.83","13,234,680"
12/21/2023,"99.22","99.26","98.83","98.96","9,099,118"
12/20/2023,"98.87","99.04","98.69","98.97","9,994,103"
12/19/2023,"98.63","98.78","98.59","98.61","13,787,120"
12/18/2023,"98.58","98.58","98.42","98.49","11,521,010"
12/15/2023,"98.80","98.88","98.59","98.69","10,079,310"
12/14/2023,"98.68","99.04","98.61","98.92","12,651,260"
12/13/2023,"97.39","98.45","97.33","98.41","11,194,420"
12/12/2023,"96.94","97.19","96.82","97.19","11,711,460"
12/11/2023,"96.80","96.95","96.60","96.90","15,008,720"
12/08/2023,"96.99","97.07","96.72","96.89","6,696,783"
12/07/2023,"97.22","97.56","97.22","97.38","7,157,947"
12/06/2023,"97.24","97.49","97.15","97.35","11,111,230"
12/05/2023,"96.85","97.15","96.79","97.10","8,850,641"
12/04/2023,"96.58","96.67","96.31","96.46","9,440,199"
12/01/2023,"96.00","96.87","95.97","96.83","11,774,330"
11/30/2023,"96.38","96.41","96.13","96.26","8,889,239"
11/29/2023,"96.42","96.67","96.34","96.58","8,006,828"
11/28/2023,"95.61","96.13","95.57","96.11","9,749,395"
11/27/2023,"95.36","95.72","95.33","95.69","8,854,641"
11/24/2023,"95.24","95.32","95.12","95.15","2,944,257"
11/22/2023,"95.68","95.75","95.37","95.59","6,329,863"
11/21/2023,"95.45","95.57","95.28","95.50","7,393,840"
11/20/2023,"95.07","95.42","95.07","95.40","10,051,650"
11/17/2023,"95.21","95.36","95.03","95.25","9,244,042"
11/16/2023,"94.85","95.20","94.85","95.06","10,145,390"
11/15/2023,"94.70","94.72","94.46","94.54","10,956,780"
11/14/2023,"95.03","95.20","94.93","95.13","12,149,610"
11/13/2023,"93.64","93.97","93.53","93.95","9,679,644"
11/10/2023,"94.19","94.22","93.88","93.96","6,101,956"
11/09/2023,"94.42","94.44","93.73","93.74","9,163,165"
11/08/2023,"94.27","94.62","94.25","94.53","6,932,255"
11/07/2023,"93.94","94.36","93.91","94.21","7,306,930"
11/06/2023,"93.93","93.99","93.63","93.71","8,521,632"
11/03/2023,"94.54","94.69","94.14","94.18","11,890,350"
11/02/2023,"93.68","93.76","93.37","93.61","11,166,740"
11/01/2023,"92.23","93.05","92.23","93.05","14,404,640"
10/31/2023,"92.45","92.63","92.31","92.31","12,343,610"
10/30/2023,"92.29","92.51","92.15","92.37","8,166,711"
10/27/2023,"92.56","92.64","92.37","92.59","7,650,175"
10/26/2023,"92.12","92.64","92.11","92.62","11,574,570"
10/25/2023,"92.33","92.35","91.92","92.00","8,904,428"
10/24/2023,"92.43","92.69","92.28","92.69","9,165,301"
10/23/2023,"91.70","92.50","91.58","92.36","12,886,000"
10/20/2023,"91.94","92.14","91.90","92.00","6,630,026"
10/19/2023,"91.89","92.17","91.61","91.67","11,552,720"
10/18/2023,"92.29","92.38","91.94","92.02","9,352,743"
10/17/2023,"92.51","92.69","92.35","92.45","8,198,418"
10/16/2023,"93.32","93.41","93.10","93.12","6,332,779"
10/13/2023,"93.68","93.79","93.52","93.64","7,516,133"
10/12/2023,"93.87","93.91","93.17","93.24","11,189,790"
10/11/2023,"93.94","94.05","93.76","94.05","15,347,040"
10/10/2023,"93.39","93.81","93.26","93.62","14,553,560"
10/09/2023,"93.22","93.72","93.15","93.71","4,353,218"
10/06/2023,"92.46","92.98","92.37","92.75","9,569,518"
10/05/2023,"93.17","93.22","92.99","93.11","7,129,439"
10/04/2023,"92.77","93.05","92.55","93.05","14,097,770"
10/03/2023,"92.99","93.09","92.37","92.40","12,058,370"
10/02/2023,"93.43","93.51","93.10","93.13","8,880,050"
09/29/2023,"94.50","94.57","93.97","94.04","13,483,640"
09/28/2023,"93.70","94.16","93.53","94.13","13,334,180"
09/27/2023,"94.47","94.51","93.66","93.85","14,560,460"
09/26/2023,"94.47","94.51","94.15","94.18","15,549,170"
