Date,Open,High,Low,Close,Volume
12/29/2023,"190.99","191.64","190.74","191.17","4,612,349"
12/28/2023,"192.34","192.89","191.44","191.47","6,171,506"
12/27/2023,"191.77","193.18","191.54","192.59","5,813,295"
12/26/2023,"190.97","191.74","190.40","191.72","4,502,664"
12/22/2023,"191.60","191.88","190.07","190.27","7,176,292"
12/21/2023,"189.21","189.62","188.75","189.43","4,619,995"
12/20/2023,"188.69","188.96","188.09","188.10","6,002,395"
12/19/2023,"188.23","189.72","188.13","189.13","6,025,564"
12/18/2023,"187.50","188.49","187.24","187.85","5,357,987"
12/15/2023,"188.52","188.96","186.82","187.00","8,324,824"
12/14/2023,"188.87","189.82","188.08","188.73","9,107,157"
12/13/2023,"183.82","187.66","183.38","187.63","10,635,500"
12/12/2023,"183.84","183.98","183.26","183.49","5,056,911"
12/11/2023,"184.50","184.53","183.15","183.59","8,519,527"
12/08/2023,"185.93","186.78","184.90","185.64","7,883,204"
12/07/2023,"188.45","188.59","187.26","188.15","5,802,025"
12/06/2023,"188.32","188.46","187.50","187.84","5,778,604"
12/05/2023,"187.55","187.88","186.30","187.15","7,027,722"
12/04/2023,"189.60","190.38","187.26","187.86","18,460,539"
12/01/2023,"188.81","192.40","188.69","192.01","16,727,570"
11/30/2023,"188.89","189.24","188.28","188.75","7,558,123"
11/29/2023,"189.16","189.99","189.02","189.54","8,407,253"
11/28/2023,"187.90","189.40","187.52","189.26","10,901,890"
11/27/2023,"186.56","186.80","185.93","186.77","6,320,420"
11/24/2023,"185.47","185.75","185.16","185.52","2,445,058"
11/22/2023,"185.47","185.72","184.27","184.56","4,338,209"
11/21/2023,"185.57","186.12","185.07","185.35","7,322,379"
11/20/2023,"182.32","183.48","182.23","183.37","5,393,464"
11/17/2023,"183.96","184.13","183.45","183.67","4,871,297"
11/16/2023,"182.85","184.32","182.80","183.69","8,253,348"
11/15/2023,"182.03","182.18","181.31","181.64","4,909,399"
11/14/2023,"181.70","182.75","181.62","182.12","6,831,639"
11/13/2023,"179.40","180.73","179.11","180.51","5,385,908"
11/10/2023,"180.51","180.59","179.25","179.51","7,611,618"
11/09/2023,"180.98","182.28","180.89","181.49","6,486,286"
11/08/2023,"182.01","182.07","180.57","180.77","6,738,304"
11/07/2023,"182.25","182.65","181.75","182.59","6,795,795"
11/06/2023,"184.14","184.23","183.34","183.35","8,274,666"
11/03/2023,"184.48","185.47","184.35","184.79","8,530,399"
11/02/2023,"184.13","184.28","183.50","184.12","7,343,699"
11/01/2023,"183.91","185.00","182.67","183.51","9,048,562"
10/31/2023,"185.08","186.21","183.50","184.09","10,104,570"
10/30/2023,"185.54","185.70","184.73","185.10","8,756,405"
10/27/2023,"183.76","186.36","183.47","186.15","14,102,830"
10/26/2023,"183.40","184.49","182.87","184.01","7,671,406"
10/25/2023,"183.42","184.30","182.04","183.72","10,087,020"
10/24/2023,"182.07","183.40","181.68","182.95","6,593,963"
10/23/2023,"183.51","183.56","182.71","182.97","9,479,805"
10/20/2023,"183.43","185.23","183.09","183.59","12,785,670"
10/19/2023,"181.04","183.43","180.82","183.09","13,406,560"
10/18/2023,"180.89","182.02","179.75","180.87","13,920,790"
10/17/2023,"178.37","179.13","177.98","178.29","8,231,866"
10/16/2023,"177.84","178.33","177.54","177.96","8,385,428"
10/13/2023,"176.89","179.10","176.72","178.83","18,802,891"
10/12/2023,"174.06","174.23","173.24","173.26","5,912,663"
10/11/2023,"173.60","174.13","173.26","173.79","7,128,002"
10/10/2023,"172.08","172.80","171.90","172.53","5,843,995"
10/09/2023,"171.18","172.86","171.08","172.82","10,201,550"
10/06/2023,"169.17","170.23","168.50","169.70","9,948,433"
10/05/2023,"168.74","169.00","168.30","168.83","6,970,219"
10/04/2023,"169.21","169.41","168.50","169.14","10,034,600"
10/03/2023,"169.14","170.08","168.75","169.16","11,459,840"
10/02/2023,"170.23","170.46","169.50","169.65","12,706,030"
09/29/2023,"173.92","174.03","171.27","171.45","10,427,380"
09/28/2023,"173.91","174.14","172.32","173.23","10,061,920"
09/27/2023,"175.27","175.32","173.70","174.10","10,919,580"
09/26/2023,"176.83","177.14","176.16","176.28","7,181,080"
09/25/2023,"178.41","178.71","177.64","177.70","5,582,074"
09/22/2023,"178.65","178.95","178.51","178.62","3,637,075"
09/21/2023,"177.86","178.49","177.69","178.05","7,573,300"
09/20/2023,"179.34","180.66","179.32","179.35","9,330,262"
09/19/2023,"179.54","179.65","179.03","179.22","4,225,102"
09/18/2023,"178.82","179.41","178.38","179.39","5,049,308"
09/15/2023,"178.55","179.11","178.34","178.34","5,620,888"
09/14/2023,"176.50","177.39","176.36","177.17","6,184,382"
09/13/2023,"177.53","177.75","177.04","177.08","3,874,788"
09/12/2023,"177.11","177.70","177.05","177.49","4,445,435"
09/11/2023,"178.97","179.07","178.26","178.41","3,689,085"
09/08/2023,"178.36","179.05","177.90","178.08","3,293,699"
09/07/2023,"178.31","178.37","177.90","178.02","3,257,213"
09/06/2023,"178.33","179.01","177.70","177.83","6,427,224"
09/05/2023,"179.33","179.44","178.64","178.64","7,056,834"
09/01/2023,"180.80","181.12","179.51","180.11","4,970,732"
08/31/2023,"180.37","180.49","179.94","180.02","4,795,626"
08/30/2023,"180.58","180.88","180.29","180.32","6,593,692"
08/29/2023,"178.03","179.88","177.90","179.87","7,576,640"
08/28/2023,"177.65","178.73","177.51","178.13","4,740,683"
08/25/2023,"177.58","178.38","176.63","177.62","6,132,927"
08/24/2023,"177.66","178.49","177.41","177.85","5,526,428"
08/23/2023,"177.32","178.22","177.07","177.89","7,949,056"
08/22/2023,"175.83","176.25","175.31","176.10","5,892,540"
08/21/2023,"175.90","175.94","174.96","175.81","4,206,360"
08/18/2023,"175.83","176.06","175.10","175.33","6,253,027"
08/17/2023,"176.53","176.56","174.93","175.30","7,937,672"
08/16/2023,"176.62","176.95","175.56","175.57","6,559,418"
08/15/2023,"176.75","177.43","176.33","176.59","7,582,703"
08/14/2023,"176.86","177.58","176.58","177.06","9,554,477"
08/11/2023,"177.70","178.36","177.49","177.60","5,289,694"
08/10/2023,"178.22","178.70","177.54","177.60","5,934,598"
08/09/2023,"178.68","178.92","177.78","177.79","4,643,998"
08/08/2023,"178.64","179.33","178.46","178.64","6,162,879"
08/07/2023,"180.15","180.15","179.27","179.78","4,510,408"
08/04/2023,"180.25","180.77","179.85","180.19","5,326,191"
08/03/2023,"179.44","179.95","179.28","179.54","4,638,874"
08/02/2023,"180.57","180.79","179.41","179.60","6,348,266"
08/01/2023,"180.85","181.38","180.19","180.46","6,289,869"
07/31/2023,"182.43","183.09","182.31","182.35","5,496,890"
07/28/2023,"181.48","182.27","181.25","181.86","3,829,197"
07/27/2023,"181.64","181.64","180.32","180.42","7,592,752"
07/26/2023,"182.66","183.64","182.31","183.30","6,158,432"
07/25/2023,"181.72","182.47","181.10","182.41","4,090,149"
07/24/2023,"182.22","182.54","181.34","181.40","4,370,026"
07/21/2023,"182.06","182.46","181.68","182.18","3,845,361"
07/20/2023,"183.73","183.77","182.47","182.74","4,972,856"
07/19/2023,"183.45","183.84","182.87","183.67","3,911,565"
07/18/2023,"182.79","184.23","182.32","183.64","8,242,597"
07/17/2023,"180.99","181.63","180.64","181.56","4,152,919"
07/14/2023,"181.59","182.17","181.11","181.43","5,389,968"
07/13/2023,"181.96","182.15","181.49","182.01","4,527,900"
07/12/2023,"181.18","181.95","181.10","181.88","7,062,010"
07/11/2023,"179.43","179.71","179.13","179.45","2,819,610"
07/10/2023,"178.37","178.92","178.26","178.78","3,320,497"
07/07/2023,"178.38","179.65","178.35","178.64","5,201,148"
07/06/2023,"177.51","177.80","176.66","177.31","5,132,954"
07/05/2023,"179.41","179.42","177.83","177.84","5,652,091"
07/03/2023,"178.61","179.34","178.46","178.47","4,085,711"
06/30/2023,"177.69","178.53","177.32","178.27","6,420,904"
06/29/2023,"175.83","177.63","175.79","177.09","6,862,511"
06/28/2023,"177.23","177.69","176.70","177.28","5,866,741"
06/27/2023,"179.07","179.29","177.43","177.69","5,036,916"
06/26/2023,"179.05","179.08","178.42","178.51","3,222,050"
06/23/2023,"179.60","179.95","178.09","178.20","5,419,784"
06/22/2023,"178.36","178.99","177.63","177.71","7,948,565"
06/21/2023,"179.15","179.95","178.19","179.49","6,702,339"
06/20/2023,"180.06","180.09","179.22","179.75","7,586,229"
06/16/2023,"181.93","182.62","181.41","181.63","8,779,096"
06/15/2023,"180.28","182.05","180.18","181.91","6,739,009"
06/14/2023,"181.69","181.96","180.14","180.64","6,807,003"
06/13/2023,"182.10","182.43","180.17","180.54","5,126,686"
06/12/2023,"181.80","181.94","181.04","181.88","4,875,450"
06/09/2023,"182.36","182.79","181.72","182.04","4,380,811"
06/08/2023,"182.00","183.04","181.96","182.53","6,394,890"
06/07/2023,"181.94","183.00","180.15","180.15","9,066,528"
06/06/2023,"182.36","182.65","181.52","182.34","4,967,156"
06/05/2023,"180.79","182.44","180.60","182.14","6,403,343"
06/02/2023,"183.53","183.56","180.96","181.05","8,726,111"
06/01/2023,"182.81","184.21","182.72","183.76","7,300,542"
05/31/2023,"182.39","183.45","182.10","182.32","8,497,893"
05/30/2023,"181.72","182.40","181.17","182.04","4,906,066"
05/26/2023,"181.01","181.30","180.09","180.92","5,823,674"
05/25/2023,"181.18","181.31","180.10","180.20","6,919,174"
05/24/2023,"183.54","183.54","181.77","181.95","6,732,940"
05/23/2023,"182.78","183.76","182.48","183.43","6,345,012"
05/22/2023,"183.22","183.84","182.91","183.21","4,834,298"
05/19/2023,"182.25","184.34","181.81","183.64","8,434,976"
05/18/2023,"182.10","182.28","181.34","181.84","8,812,591"
05/17/2023,"184.31","184.45","183.48","184.23","7,474,277"
05/16/2023,"186.58","186.82","184.46","184.87","9,527,806"
05/15/2023,"187.30","187.88","187.03","187.21","5,518,086"
05/12/2023,"187.43","187.92","186.58","186.81","7,087,462"
05/11/2023,"188.44","188.81","186.86","187.13","8,245,523"
05/10/2023,"188.98","189.64","187.82","188.75","9,392,097"
05/09/2023,"188.12","189.33","188.07","189.02","7,098,810"
05/08/2023,"187.82","188.67","187.49","187.69","6,075,441"
05/05/2023,"186.56","187.58","185.77","187.46","12,508,110"
05/04/2023,"188.86","191.36","188.81","190.44","14,146,790"
